id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1598938913242243072	1598938913242243072	2022-12-03 14:15:18 SE Asia Standard Time	2022-12-03	14:15:18	+0700	1534741846429413378	arisa_fadillah	Fadillah Arisa		Rekonsiliasi kebaikan menjelang Pemilu 2024 untuk hilangkan polarisasi pemilu 2014 dan 2019  Jefri | APOLOGIZE TO LISA | Aceh | Selangkung | 3rd of December | Asia | HITC | Korsel | Offside | Morningg | Secret Number | Siang | Diana | #MySchoolPresidentEP1 | #DiorMenFall  https://t.co/HeT7WoQPuL	in	[]	[]	['https://pbs.twimg.com/media/FjCSDwMVIAEbotS.jpg']	0	2	2	['myschoolpresidentep1', 'diormenfall']	[]	https://twitter.com/arisa_fadillah/status/1598938913242243072	False		1	https://pbs.twimg.com/media/FjCSDwMVIAEbotS.jpg							[]				
1598938878551154688	1598938878551154688	2022-12-03 14:15:10 SE Asia Standard Time	2022-12-03	14:15:10	+0700	2924946284	kpu_cianjur	KPU CIANJUR		#TemanPemilih, berikut Jadwal Seleksi dan Ketentuan pelaksanaan Seleksi Tertulis Calon Anggota PPK Pemilu 2024 KPU Kabupaten Cianjur.  Selengkapnya cek Pengumuman Hasil Penetapan Seleksi pada Website KPU Kabupaten Cianjur.  #KPUMelayani  #Pemiluserentak2024  https://t.co/wqzeL5vOhI	in	[]	[]	['https://pbs.twimg.com/media/FjCSaVDUAAE6i-H.jpg', 'https://pbs.twimg.com/media/FjCSbEJVQAATcE8.jpg', 'https://pbs.twimg.com/media/FjCSbnKVUAIN_aV.jpg']	0	0	0	['temanpemilih', 'kpumelayani', 'pemiluserentak2024']	[]	https://twitter.com/kpu_cianjur/status/1598938878551154688	False		1	https://pbs.twimg.com/media/FjCSaVDUAAE6i-H.jpg							[]				
1598938558068559872	1598938558068559872	2022-12-03 14:13:53 SE Asia Standard Time	2022-12-03	14:13:53	+0700	1030778214518423552	bawaslupati	Bawaslu Kabupaten Pati		𝐒𝐞𝐥𝐚𝐦𝐚𝐭 𝐇𝐚𝐫𝐢 𝐃𝐢𝐬𝐚𝐛𝐢𝐥𝐭𝐚𝐬 𝐈𝐧𝐭𝐞𝐫𝐧𝐚𝐬𝐢𝐨𝐧𝐚𝐥 𝟑 𝐃𝐞𝐬𝐞𝐦𝐛𝐞𝐫 𝟐𝟎𝟐𝟐. Bawaslu berkomitmen untuk selalu memberikan hak yang setara bagi difabel dalam pemilu dan demokrasi.  -- #haridisabilitasinternasional #bawasluri #bawaslujateng #bawaslupati  https://t.co/JImdPL4KEl	in	[]	[]	['https://pbs.twimg.com/media/FjCSCFGVEAEVJk-.jpg']	0	0	1	['haridisabilitasinternasional', 'bawasluri', 'bawaslujateng', 'bawaslupati']	[]	https://twitter.com/bawaslupati/status/1598938558068559872	False		1	https://pbs.twimg.com/media/FjCSCFGVEAEVJk-.jpg							[]				
1598938545862893570	1598938545862893570	2022-12-03 14:13:50 SE Asia Standard Time	2022-12-03	14:13:50	+0700	1565180233283940352	kamidipus	Kamidipus		Pemilu 2024, KPU Minta Parpol Membuka Diri kepada Masyarakat – Beritasatu –  https://t.co/zF4tVpL1fP – #Opsiin #OmKamidi  -  https://t.co/wSjyq9Ne32	in	[]	['https://bit.ly/3FndhgU', 'https://opsimin.wordpress.com/2022/12/03/pemilu-2024-kpu-minta-parpol-membuka-diri-kepada-masyarakat-beritasatu-https-bit-ly-3fndhgu-opsiin-omkamidi/']	[]	0	0	0	['opsiin', 'omkamidi']	[]	https://twitter.com/kamidipus/status/1598938545862893570	False		0								[]				
1598937662706290688	1598855291856375808	2022-12-03 14:10:20 SE Asia Standard Time	2022-12-03	14:10:20	+0700	1548140784	esasuryo	al fito		@OposisiCerdas Sebenarnya waktu pemilu gak diperlukan pasukan ini buat apa adanya polisi dan tni...malah takutnya mereka gak netral...yg diperlukan adalah ahli medis agar gak ada pantarli yg tumbang seperti pemilu kemarin	in	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/esasuryo/status/1598937662706290688	False		0								[{'screen_name': 'OposisiCerdas', 'name': 'OposisiCerdas.com', 'id': '887743587579944960'}]				
1598937571136270336	1598937571136270336	2022-12-03 14:09:58 SE Asia Standard Time	2022-12-03	14:09:58	+0700	248044988	sinthas5	𝕊𝕚𝕟𝕥𝕙𝕒		‘Jika ingin Indonesia menjadi negara super power digital saat tinggal landas kedua nanti, ijinkan @PDI_Perjuangan menang pemilu minimal s/d 2045’ 💪🏼🇮🇩💪🏼  @budimandjatmiko aktifis 98 yg bergabung dg PDIP krn yakin ideologis nasionalis partai selaras dgn perjuangan beliau.  https://t.co/iEv5giJlcI	in	[{'screen_name': 'pdi_perjuangan', 'name': 'pdi perjuangan', 'id': '153407983'}, {'screen_name': 'budimandjatmiko', 'name': 'budiman sudjatmiko (ig: masbud_sudjatmiko)', 'id': '183217247'}]	[]	['https://pbs.twimg.com/media/FjCRPrIaYAA9tQH.jpg']	1	5	12	[]	[]	https://twitter.com/SinthaS5/status/1598937571136270336	False		1	https://pbs.twimg.com/media/FjCRPrIaYAA9tQH.jpg							[]				
1598937373605507073	1598937373605507073	2022-12-03 14:09:11 SE Asia Standard Time	2022-12-03	14:09:11	+0700	1125571212359262210	syusada	EKI07		Sepertinya pemilu akan berjalan sangat mencekam...	in	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/SYUSADA/status/1598937373605507073	False	https://twitter.com/OposisiCerdas/status/1598855291856375808	0								[]				
1598937130683617280	1598937130683617280	2022-12-03 14:08:13 SE Asia Standard Time	2022-12-03	14:08:13	+0700	1374592209740173316	kpusampang49	Kpu Kabupaten Sampang		#TemanPemilih, KPU Kabupaten Sampang menerimamasukan dan tanggapan masyarakat terhadap Calon Anggota PPK Pemilu 2024 loh... Yuk lirik daftar Calon Anggota PPK di Website KPU Kabupaten Sampang,  https://t.co/CQje6PKfig #KPUMelayani #PemiluSeentak2024  https://t.co/Gp06MDBPEC	in	[]	['https://kab-sampang.kpu.go.id']	['https://pbs.twimg.com/media/FjCQyieUYAA_LEz.jpg']	0	0	0	['temanpemilih', 'kpumelayani', 'pemiluseentak2024']	[]	https://twitter.com/kpusampang49/status/1598937130683617280	False		1	https://pbs.twimg.com/media/FjCQyieUYAA_LEz.jpg							[]				
1598937004410294274	1598875693034897410	2022-12-03 14:07:43 SE Asia Standard Time	2022-12-03	14:07:43	+0700	88350454	wiradisuta	wiradisuta		@geloraco koplok pisan.. pemilu masih lama.. udah ribet aja	in	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/wiradisuta/status/1598937004410294274	False		0								[{'screen_name': 'geloraco', 'name': 'GELORA NEWS', 'id': '3319260420'}]				
1598936912877604864	1598936912877604864	2022-12-03 14:07:21 SE Asia Standard Time	2022-12-03	14:07:21	+0700	1518415106622648322	septikarunia1	Septi Karunia		Menteri Pertahanan (Menhan), Prabowo Subianto, terus mendapat banyak dukungan pada Pemilihan Umum (Pemilu) 2024.  https://t.co/pZZb7v3XWO @prabowo #dekade08 #MendingPrabowo #Pilpres2024 #terusmajubersamaprabowo	in	[{'screen_name': 'prabowo', 'name': 'prabowo subianto', 'id': '40580714'}]	['https://nasional.okezone.com/read/2022/12/01/337/2718325/bahas-dukungan-jokowi-ke-prabowo-pengamat-mampu-jawab-tantangan-ri-ke-depan']	[]	0	0	0	['dekade08', 'mendingprabowo', 'pilpres2024', 'terusmajubersamaprabowo']	[]	https://twitter.com/SeptiKarunia1/status/1598936912877604864	False		0								[]				
1598936556441567243	1598936556441567243	2022-12-03 14:05:56 SE Asia Standard Time	2022-12-03	14:05:56	+0700	1091866339344404480	suarajelata1	Media Suara Jelata		Bawaslu Sinjai Gelar Sosialisasi Peraturan Pengawasan Penyelengaraan Pemilu  https://t.co/JHx1BfnZV7	in	[]	['https://suarajelata.com/2022/12/03/bawaslu-sinjai-gelar-sosialisasi-peraturan-pengawasan-penyelengaraan-pemilu/']	[]	0	0	0	[]	[]	https://twitter.com/Suarajelata1/status/1598936556441567243	False		0								[]				
1598936439198461952	1598895858900049920	2022-12-03 14:05:28 SE Asia Standard Time	2022-12-03	14:05:28	+0700	1497580816041349122	sulaem7sulaeman	Tegakkan Pemilu Jurdil!		@Yusufs_abiie @ekowboy2 Itulah demokrasi tdk ada paksaan, dlm Islam sj tdk ada paksaan dlm bragama apalg dlm demokrasi u brpolitik, msng² ada pertanggungjawaban dunia&amp;akhirat kl kt plh pemimpin trmsk plh salah satu agama	in	[]	[]	[]	1	0	0	[]	[]	https://twitter.com/Sulaem7Sulaeman/status/1598936439198461952	False		0								[{'screen_name': 'Yusufs_abiie', 'name': 'abiie poqbom', 'id': '863677810887450626'}, {'screen_name': 'ekowboy2', 'name': '🄴🄺🄾 🅆🄸🄳🄾🄳🄾', 'id': '1006827831995711488'}]				
1598935988755390464	1598912585256304640	2022-12-03 14:03:41 SE Asia Standard Time	2022-12-03	14:03:41	+0700	1429040840932872193	endynugroho8	Endy Nugroho		@marlina_idha Kekuatan Kerinduan Masyarakat Saat Ini Terhdp Sosok Anies Untuk Menjadi Pimpinan Panutan Mencerminkan Ketulusan dan Kerelaan Yg Mendalam. Semoga Pemilu 2024 Anies Terpilih Presiden RI Ke 8. Rakyat 🇮🇩 Memilih Anies Sbg Presiden TERAMANAH.🤲👍🤝💪🇮🇩🙏	in	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/EndyNugroho8/status/1598935988755390464	False		0								[{'screen_name': 'marlina_idha', 'name': 'Marlina ▪︎ mawar 🌹', 'id': '719725925215170561'}]				
1598935963107229696	1598895858900049920	2022-12-03 14:03:35 SE Asia Standard Time	2022-12-03	14:03:35	+0700	1497580816041349122	sulaem7sulaeman	Tegakkan Pemilu Jurdil!		@Yusufs_abiie @ekowboy2 Biarkn sj mrk punya hak pilih knpa nt yg atur	in	[]	[]	[]	2	0	0	[]	[]	https://twitter.com/Sulaem7Sulaeman/status/1598935963107229696	False		0								[{'screen_name': 'Yusufs_abiie', 'name': 'abiie poqbom', 'id': '863677810887450626'}, {'screen_name': 'ekowboy2', 'name': '🄴🄺🄾 🅆🄸🄳🄾🄳🄾', 'id': '1006827831995711488'}]				
1598935911139799042	1598710419807506434	2022-12-03 14:03:22 SE Asia Standard Time	2022-12-03	14:03:22	+0700	1518501525936480258	gosongsego	🇮🇩Sego Gosong🇮🇩		@M45Broo Persiapan Pemilu 2024. Jd ASN bisa di mobilisasi dan diatur kelompoknya	in	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/GosongSego/status/1598935911139799042	False		0								[{'screen_name': 'M45Broo', 'name': 'CELOTEH RECEH 🤑', 'id': '1126547830754107392'}]				
1598935823230959616	1598935823230959616	2022-12-03 14:03:01 SE Asia Standard Time	2022-12-03	14:03:01	+0700	1344992219652997121	rokhanasti	Rohana		Lima arahan Presiden @jokowi terkait pemilu 2024.  https://t.co/yBQiVTGON2	in	[{'screen_name': 'jokowi', 'name': 'joko widodo', 'id': '366987179'}]	[]	[]	0	1	1	[]	[]	https://twitter.com/RokhanaSti/status/1598935823230959616	False		1	https://pbs.twimg.com/ext_tw_video_thumb/1598935573535723521/pu/img/MZA6kUD6xhHjEbjb.jpg							[]				
1598935571967401986	1598935571967401986	2022-12-03 14:02:01 SE Asia Standard Time	2022-12-03	14:02:01	+0700	1066978015270191105	sajenkopiireng	🇲🇨ABANGIRENG🇲🇨		Ganjar-erick pemilu cukup satu putaran.👍	in	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/SajenKopiIreng/status/1598935571967401986	False	https://twitter.com/riyadisugeng167/status/1598901869166080000	0								[]				
1598935552388206592	1598935552388206592	2022-12-03 14:01:57 SE Asia Standard Time	2022-12-03	14:01:57	+0700	1566265949896200192	kotakmi1	Kotakmi		Pemilu 2024, KPU Minta Parpol Membuka Diri kepada Masyarakat – Beritasatu –  https://t.co/evR7dyqJqN – #Opsiin #OmKamidi  https://t.co/V0zKeID39l	in	[]	['https://bit.ly/3FndhgU', 'https://opsimin.wordpress.com/2022/12/03/pemilu-2024-kpu-minta-parpol-membuka-diri-kepada-masyarakat-beritasatu-https-bit-ly-3fndhgu-opsiin-omkamidi/']	[]	0	0	0	['opsiin', 'omkamidi']	[]	https://twitter.com/Kotakmi1/status/1598935552388206592	False		0								[]				
1598935350516535296	1598935350516535296	2022-12-03 14:01:09 SE Asia Standard Time	2022-12-03	14:01:09	+0700	806818520805806080	kputoba	KPU TOBA		PENGUMUMAN SELEKSI ADMINISTRASI CALON ANGGOTA PPK UNTUK PEMILU 2024  https://t.co/z5cX3e3olL	in	[]	['https://drive.google.com/file/d/10SO7Pj_De-uVYWD3T96xNWGAxlmlr_6j/view?usp=share_link']	[]	0	0	0	[]	[]	https://twitter.com/KpuToba/status/1598935350516535296	False		0								[]				
