username,date,tweet,link
aressoes57,2022-12-03,"Pemilu 2024 menjadi sangat dinanti demi perubahan yg lebih baik, lebih adil &amp; lebih sejahtera. Satu alasan pemilu mesti tepat waktu adalah keinginan rakyat.   https://t.co/P8c0UxE7EZ",https://twitter.com/aressoes57/status/1598980708495929344
fendy_070l,2022-12-03,@mardigu024 Pak tani menanam kelapa Disepetak tanah yang pekat Pemilu semakin dekat dimata Banyak janji surga menipu rakyat,https://twitter.com/fendy_070L/status/1598980209004666880
puspita3_eka,2022-12-03,"@S4N_W1B1 @NasDem Nah itu dia,miris banget belum apa2 arogan kek gini.Gimana kalo menang pemilu nanti  https://t.co/d9UiPLzF77",https://twitter.com/puspita3_eka/status/1598980136308965376
batengbawaslu,2022-12-03,"#SahabatBawaslu, belajar lagi tentang kepemiluan bareng Awasmin, yuk! 😊  Kali ini kita belajar tentang ‘Pelanggaran Pemilu’. Apa sih yang dimaksud dengan pelanggaran pemilu? Apa saja jenis pelanggaran? 🤔  #AyoAwasiBersama #BawasluMengawasi  https://t.co/N3DDrHAvH2",https://twitter.com/BatengBawaslu/status/1598979799107907584
hendrikorachman,2022-12-03,"Jumlah yg hadir tandanya tdk banyak, kok bisa dilempari telor busuk acara pk @aniesbaswedan . @KPU_ID tertibkan kampanye pemilu dg kedok silaturahmi dlm UU pemilu Cc @jokowi @DPR_RI @puanmaharani_ri  @ListyoSigitP @mohmahfudmd @olvaholvah @ganjarpranowo @Fahrihamzah @jansen_jsp",https://twitter.com/Hendrikorachman/status/1598979777314316288
t0n1h3r5_83,2022-12-03,@mavin1818 @L4UH4UL4M132435 Dr awal kemunculan sipenipu kami sdh bergerilya utk tdk memilih sang penipu dan InsyaAllah sampai pemilu th dpnpun tdk ada nama yg berhubungan dgn sang penipu dihati kami SEMANGAT BERJUANG  #JokowiWajibDimakzulkan  #JokowiWajibDimakzulkan  https://t.co/JuPnhBYqWu,https://twitter.com/t0n1h3r5_83/status/1598979748994387968
bekasibawaslu,2022-12-03,"#SahabatBawaslu  Selamat Hari Disabiltas Internasional. #AyoAwasiBersama Pemilu kita, agar semakin mudah dan akses bagi penyandang disabilitas. Difabel memiliki hak yang setara dalam pemilu dan demokrasi.  https://t.co/V8yyjfZyps",https://twitter.com/BekasiBawaslu/status/1598979625874776064
bekasibawaslu,2022-12-03,"#SahabatBawaslu  Selamat Hari Disabiltas Internasional. #AyoAwasiBersama Pemilu kita, agar semakin mudah dan akses bagi penyandang disabilitas. Difabel memiliki hak yang setara dalam pemilu dan demokrasi.  https://t.co/nEYYPAiMMu",https://twitter.com/BekasiBawaslu/status/1598979478906093569
saptohari077,2022-12-03,@muannas_alaidid Kadrun memang begitu...tunggu deket pemiLu..baru bisa makan..😄😄😄,https://twitter.com/saptohari077/status/1598979293174181888
ankerpengembara,2022-12-03,@calonjenazah85 Hati....pemilu sudah dekat...yg busuk bjsa jadi wangi,https://twitter.com/AnkerPengembara/status/1598979185342828544
hendrikorachman,2022-12-03,Ngak yakin saya pembenci pk @aniesbaswedan melemparkan krn untungnya apa &amp; di aceh otonomi daerah khusus. Bisa jadi pendukung sendiri melemparinya krn nasbung kurang x. Apalagi acara pemilu blm dimulai kok sdh  kampanye Cc @ListyoSigitP @mohmahfudmd @KPU_ID @Fahrihamzah,https://twitter.com/Hendrikorachman/status/1598978918052409345
dade88020008,2022-12-03,"@umarhasibuan751 Pemilu perlu modal yg tidak sedikit, Ganjar, Anies mereka perlu dukungan modal. Gitu aja.",https://twitter.com/Dade88020008/status/1598978894472056832
kisp_id,2022-12-03,"Tepat pada hari ini, dunia memperingati Hari Penyandang Disabilitas Internasional.  “Mari bersama wujudkan Pemilu 2024 yang inklusif terhadap partisipasi kelompok difabel”.   #BerkaryaKawalDemokrasi #MudaPeduliDemokrasi #BersamaJagaDemokrasi #Pemilu2024  https://t.co/78ARIjhc9b",https://twitter.com/kisp_id/status/1598978735084302337
1politik,2022-12-03,Giat sambang dan koordinasi Unit Politik Sat intelkam Polres Prabumulih Polda sumsel dengan DPP Partai Golkar Kota Prabumulih terkait meyambut pemilu serentak 2024 #polripresisi  #poldasumsel  #polresprabumulih  #kapolresprabumulih  #akbpwitdiardi  https://t.co/Xm0poO9nCK,https://twitter.com/1Politik/status/1598978668566810624
widisaja89,2022-12-03,"Lima arahan Presiden terkait persiapan pemilu: - semua tahapan memiliki pengaturan teknis &amp; koridor hukum yg jelas. - memastikan kesiapan sarana prasarana logistik - meningkatkan pengetahuan, keterampilan, &amp; kemampuan - bekerja dg efektif &amp; efisien - memperkuat pendidikan politik  https://t.co/4yCJQmDzMt",https://twitter.com/widisaja89/status/1598978314538217472
purwakartakpu,2022-12-03,"#TemanPemilih, Dapat menyampaikan tanggapan masyarakat dan masukan tentang perekrutan calon Anggota PPK pada Pemilu Tahun 2024  #KPUMelayani #PemiluSerentak2024  https://t.co/38Nd2gUK91",https://twitter.com/purwakartakpu/status/1598977989089562626
kpuwaykanan,2022-12-03,KPU way kanan resmi umumkan seleksi adminitrasi badan adhoc PPK pemilu 2024 dengan scan barcode di bawah ini  https://t.co/9syJcPWE1o,https://twitter.com/KpuWaykanan/status/1598977917094367233
amankadismaksum,2022-12-03,@mardigu024 Air dicari para musafir lalu Fatamorgana Membimbangkan kalbu Genderang Pemilu Segera ditabu Banyak Bicara Emas Nyatanya Palsu,https://twitter.com/Amankadismaksum/status/1598977502944571392
zakariasulaim14,2022-12-03,@VIVAcoid Pemilu kemaren partai anda yg beli suara ke KPU  semoga pemilu 2024 partai banteng tdk ada yg nyoblos karena rakyat sdh pada mengetahui dan merasakannya .,https://twitter.com/zakariasulaim14/status/1598977253622583297
lathifayani,2022-12-03,"Presiden Jokowi dalam beberapa kesempatan, baik secara implisit maupun eksplisit memberikan dukungan kepada Menteri Pertahanan, Prabowo Subianto pada Pemilihan Umum atau Pemilu 2024.  https://t.co/GvLbBghMz3 @prabowo #dekade08 #MendingPrabowo #Pilpres2024 #terusmajubersamaprabowo",https://twitter.com/LathifaYani/status/1598977117110534144
kalimaya_malang,2022-12-03,"Walikota Malang, Sutiaji, mengungkapkan berbagai upaya dilakukan oleh Pemkot Malang menjelang tahun baru 2023 hingga pemilu serentak pada 2024 mendatang dalam FGD evaluasi perkembangan dinamika sosial di Kota Malang yang digelar di Mini Block Office (MBO) (ADV)  https://t.co/chb5qEgGoQ",https://twitter.com/kalimaya_malang/status/1598977016321445890
